step,flux_to_10,flux_to_14,dissipation,entropy,m2,mass_error
0.000000000000000000e+00,-3.214846134376800641e-12,1.054736442855021581e-05,1.166939475984563913e-02,1.824573782112117959e+00,1.880541426266207905e-01,0.000000000000000000e+00
1.000000000000000000e+00,-6.367613461145978590e-12,2.098173492913439636e-05,4.625974601080218296e-02,1.824866993148531513e+00,1.880361345820354968e-01,0.000000000000000000e+00
2.000000000000000000e+00,-5.101037021037149484e-12,3.122807755050793955e-05,1.031541557446928742e-01,1.825268522662665927e+00,1.880092683549593191e-01,1.110223024625156540e-16
3.000000000000000000e+00,2.981615117211611861e-12,4.121225309792568559e-05,1.817486565840809309e-01,1.825767243799742534e+00,1.879736432294959181e-01,2.220446049250313081e-16
4.000000000000000000e+00,3.702376567225647152e-12,5.086032149136689829e-05,2.814519597215239810e-01,1.826354306728728893e+00,1.879293632769768740e-01,4.440892098500626162e-16
5.000000000000000000e+00,4.414118404555054283e-12,6.009787931816672565e-05,4.016852074419140495e-01,1.827022325843942863e+00,1.878765340479507939e-01,0.000000000000000000e+00
6.000000000000000000e+00,5.117240194891979406e-12,6.884942741777145474e-05,5.418817301545558740e-01,1.827764769670815248e+00,1.878152634599851156e-01,1.110223024625156540e-16
7.000000000000000000e+00,5.812135113027473767e-12,7.703776781959986687e-05,7.014868078592287892e-01,1.828575516801424605e+00,1.877456617392847249e-01,0.000000000000000000e+00
8.000000000000000000e+00,6.499194333645101638e-12,8.458342785976007247e-05,8.799574359725138573e-01,1.829447890166855828e+00,1.876678413677820845e-01,0.000000000000000000e+00
9.000000000000000000e+00,7.178812658892621430e-12,9.140410992529504348e-05,1.076762095441307965e+00,1.830400519416305327e+00,1.875811815569915497e-01,0.000000000000000000e+00
1.000000000000000000e+01,7.851380085878165051e-12,9.756646417231577145e-05,1.291380544010543030e+00,1.831418630620587074e+00,1.874861437043653378e-01,0.000000000000000000e+00
1.100000000000000000e+01,8.517324814722840953e-12,1.029434049955616436e-04,1.523303574679113703e+00,1.832494735808808395e+00,1.873829041886434787e-01,0.000000000000000000e+00
1.200000000000000000e+01,9.177099304142321935e-12,1.074479617003586877e-04,1.772032802475870472e+00,1.833625776152337572e+00,1.872715249937942916e-01,2.220446049250313081e-16
1.300000000000000000e+01,9.831193424762573107e-12,1.110144319209257742e-04,2.037080453695743198e+00,1.834808824461596100e+00,1.871520657111263031e-01,0.000000000000000000e+00
1.400000000000000000e+01,1.048014934225411228e-11,1.135770835052021566e-04,2.317969156922576435e+00,1.836041035315553627e+00,1.870245835768624965e-01,2.220446049250313081e-16
1.500000000000000000e+01,1.112457573943694822e-11,1.150700338776585802e-04,2.614231737930749144e+00,1.837319594947208312e+00,1.868891335089035155e-01,0.000000000000000000e+00
1.600000000000000000e+01,1.176516349543993415e-11,1.154271329818760039e-04,2.925411018394259877e+00,1.838641666168268740e+00,1.867457681433624117e-01,1.110223024625156540e-16
1.700000000000000000e+01,1.240270279247999932e-11,1.145818495701465795e-04,3.251059618332955647e+00,1.840004321905436058e+00,1.865945378714762848e-01,2.220446049250313081e-16
1.800000000000000000e+01,1.303810160713942865e-11,1.124671606223371192e-04,3.590739762226618836e+00,1.841404457132059136e+00,1.864354908775303910e-01,2.220446049250313081e-16
1.900000000000000000e+01,1.367240553373116091e-11,1.090154436906787873e-04,3.944023088728567661e+00,1.842838660875223633e+00,1.862686731784539140e-01,2.220446049250313081e-16
